"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&ranges%3D2011_2017_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28%28%28%28Graphical+interface%29+OR+graphical+user+interface%29+OR+User-Computer%29+OR+User-Computer+Interfaces%29+OR+User+Computer+Interface%29+OR+Interface%29+OR+business+process%29+OR+BPM%29+OR+BPMS%29+OR+GUI%29",2016/09/30 15:38:18
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Computer in testing the Fundamentals of electrical engineering at the University of Zagreb Faculty of electrical engineering and computing","A. Pavi&#x0107;; F. &#x0160;kopljanac-Ma&#x010D;ina","University of Zagreb, Faculty of Electrical Engineering and Computing, Croatia","MIPRO, 2012 Proceedings of the 35th International Convention","","2012","","","1205","1210","The main characteristics of computer system developed for support of teaching the Fundamentals of electrical engineering are described, with emphasis on computer use in knowledge evaluation. The ways of actual computer use in knowledge testing are presented, and the possibilities of development of distance testing are discussed, regarding distance learning, as well as data security issues. At the end, the possibilities to apply the developed system in teaching at other universities and secondary schools are considered.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240864","","Computers;Databases;Educational institutions;Electrical engineering;Materials;Testing","Internet;computer aided instruction;distance learning;educational courses;electrical engineering computing;electrical engineering education;further education;security of data;teaching","Faculty of Electrical Engineering and Computing;Internet based information system;University of Zagreb;WebOE;computer system;computer use;data security;distance learning;distance testing;electrical engineering fundamentals testing;knowledge evaluation;knowledge testing;teaching","","0","","10","","","21-25 May 2012","","IEEE","IEEE Conference Publications"
"The impact of power quality when high power pulsed DC and continuous AC loads are simultaneously operated on a MicroGrid testbed","J. P. Kelley; D. A. Wetz; J. A. Reed; I. J. Cohen; G. K. Turner; W. J. Lee","Electrical Engineering Department, University of Texas at Arlington (UTA), USA","2013 IEEE Electric Ship Technologies Symposium (ESTS)","","2013","","","6","12","Technological advancements have been made in the field of electrochemistry leading to the development of energy storage devices that are more power dense than ever before. Coupled with their already modestly high energy density, this makes them well suited for use as the prime power source of many high pulsed and continuous power AC and DC loads operated within MicroGrid architectures. The energy storage devices of interest as well as the MicroGrid concept are both technologically immature. Their independent performance characteristics as well as the manner in which they can be integrated with one another need further research in order to understand their limitations and how they will perform in an extreme environment where high pulsed and continuous power loads are sourced simultaneously. With support from the US Office of Naval Research (ONR), a novel MicroGrid test-bed at UTA is being used to characterize how the power quality of different generation sources, including various low impedance energy storage technologies, solar panels, wind turbines, fuel cells, and fossil fuel based generators, are impacted when they are interconnected and used to source these types of high power loads. A description of the experimental setup and some experimental results obtained will be presented.","","","10.1109/ESTS.2013.6523704","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6523704","","Batteries;Generators;Microgrids;Power quality;Standards;Wind turbines","distributed power generation;energy storage;power supply quality;pulsed power technology","continuous AC loads;electrochemistry;energy density;energy storage devices;fossil fuel based generators;fuel cells;high power pulsed DC load;independent performance characteristics;low impedance energy storage technology;microgrid testbed architectures;power quality;solar panels;wind turbines","","0","","10","","","22-24 April 2013","","IEEE","IEEE Conference Publications"
"New T&S Associate Editors [News and Notes]","","","IEEE Technology and Society Magazine","","2016","35","1","11","14","Presents a listing of new associate editors for this issue of the publication.","0278-0097;02780097","","10.1109/MTS.2016.2527079","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7430045","","","","","","","","","","","March 2016","","IEEE","IEEE Journals & Magazines"
"Competence Database: A precondition for successful transfer of technology and knowledge","H. Bezi&#x0107;; P. Karaniki&#x0107;; E. Tijan","University of Rijeka, Faculty of Economics, Ivana Filipovi&#x0107;a 4, 51000, Croatia","MIPRO, 2012 Proceedings of the 35th International Convention","","2012","","","1446","1450","Technology transfer is, in a narrow sense, a formal transfer of rights to use and commercialize new discoveries and innovations resulting from scientific research. Several preconditions have to be met for successful technology transfer. In this paper the main preconditions of successful technology transfer will be discussed, the preconditions of University of Rijeka will be stated, and the future steps for successful commercialization of University of Rijeka scientific research results will be analyzed. University of Rijeka had, within the Science and Technology Project (STP), met some of necessary preconditions for successful technology transfer, but unfortunately this project ended in May 2011, leaving some of the work unfinished. The IPA IIIc project “Development of Innovation System at Ruđer Bošković Institute and University of Rijeka” has helped in realizing several other technology transfer preconditions.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240880","","Databases;Economics;Educational institutions;Intellectual property;Knowledge transfer;Technological innovation;Technology transfer","educational institutions;innovation management;technology transfer","Development of Innovation System at Ruder Boškoviέ Institute and University of Rijeka;IPA IIIc project;STP;Science and Technology Project;University of Rijeka scientific research;competence database;knowledge transfer preconditions;technology transfer preconditions","","0","","11","","","21-25 May 2012","","IEEE","IEEE Conference Publications"
"A new intelligent power module with enhanced diagnostics and protection","E. R. Motto; J. F. Donlon; M. Honsberg; F. Tametani","Powerex Incorporated, 173 Pavilion Lane, Youngwood, 15697 USA","Applied Power Electronics Conference and Exposition (APEC), 2013 Twenty-Eighth Annual IEEE","","2013","","","2398","2401","This paper describes the characteristics of a new IGBT based intelligent power module (IPM) designed for 15KW to 60KW industrial motor drive applications. For the first time HVIC (High Voltage Integrated Circuit) technology has been adopted in this power range in order to provide enhanced diagnostic and protection functions while simplifying or eliminating peripheral circuits that were previously required. The main additions compared to existing IPMs include: (1) level shifting of control inputs to eliminate the need for isolated gate drive channels, (2) User adjustable switching speed, (3) Error mode identification feedback, (4) Operating temperature information, (5) Shoot-through prevention interlock, and (6) Boot-strap circuit with auxiliary support to eliminate the need for multiple isolated power supplies. This paper will describe the implementation of these functions and explain the system level benefits.","1048-2334;10482334","","10.1109/APEC.2013.6520631","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6520631","Insulated gate bipolar transistors;Intelligent Power Module","","","","","1","","10","","","17-21 March 2013","","IEEE","IEEE Conference Publications"
"Eu-doped polymer fibers","R. Caspary; S. M&#x00F6;hl; A. Cichosch; R. Evert; S. Sch&#x00FC;tz; H. H. Johannes; W. Kowalsky","Technische Universit&#x00E4;t Braunschweig, Institut f&#x00FC;r Hochfrequenztechnik, Schleinitzstra&#x00DF;e 22, 38106, Germany","2013 15th International Conference on Transparent Optical Networks (ICTON)","","2013","","","1","4","Polymer optical fibers are a very good choice for flexible and robust short range optical data links. We have developed PMMA with Eu<sup>3+</sup>-doped polymer chains. From this optically active material we draw fibers. These fibers can be used for UV pumped polymer fiber amplifiers in cases where larger distances have to be bridged. This paper presents the fabrication of these fibers, their optical characteristics and results of first gain measurements.","2162-7339;21627339","","10.1109/ICTON.2013.6602870","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6602870","Europium;fiber amplifiers;fiber fabrication;polymer optical fibers","Absorption;Light emitting diodes;Optical fiber amplifiers;Optical fiber couplers;Optical fiber dispersion;Polymers","europium;optical fibre fabrication;optical polymers;polymer fibres","PMMA;UV pumped polymer fiber amplifiers;europium-doped polymer optical fibers;gain measurements;optical characteristics;optical data links;optical fibre fabrication;optically active material","","1","","11","","","23-27 June 2013","","IEEE","IEEE Conference Publications"
"Flow regime identification of mini-pipe gas-liquid two-phase flow based on textural feature series","G. Huang; H. Ji; Z. Huang; B. Wang; H. Li","State Key Laboratory of Industrial Control Technology, Department of Control Science and Engineering, Zhejiang University Hangzhou, 310027, P. R. China","Instrumentation and Measurement Technology Conference (I2MTC), 2011 IEEE","","2011","","","1","4","A method for the identification of gas-liquid two-phase flow regime in mini-pipes is proposed based on textural feature series. A high-speed image acquisition system is used to capture images of gas-liquid two-phase flow in the mini-pipe with inner diameter of 2.8mm, and five typical flow regimes (stratified flow, wavy flow, bubbly flow, slug flow and annular flow) are observed in the experiment. Two textural features (dissimilarity and entropy) of images are extracted by gray level co-occurrence matrix (GLCM). And then the mean value and the standard deviation of the textural feature series are used as the inputs of support vector machine (SVM) to identify the current flow regime. The identification accuracies of the five typical flow regimes are all above 91%. The results show that the method is feasible and effective, and can be used for gas-liquid two phase flow regime identification in mini-pipes.","1091-5281;10915281","","10.1109/IMTC.2011.5944218","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5944218","GLCM;SVM;gas-liquid two-phase flow;high-speed image acquisition;mini-pipe;textural feature series","Cameras;Entropy;Feature extraction;Fluid flow measurement;Mixers;Nitrogen;Support vector machines","bubbles;feature extraction;image texture;matrix algebra;mechanical engineering computing;microchannel flow;pipe flow;pipes;stratified flow;support vector machines;two-phase flow","GLCM;SVM;flow regime identification;gray level cooccurrence matrix;high-speed image acquisition system;mini-pipe gas-liquid two-phase flow;size 2.8 mm;support vector machine;textural feature series","","0","","18","","","10-12 May 2011","","IEEE","IEEE Conference Publications"
"Embedded ROS [ROS Topics]","P. Bouchier","","IEEE Robotics & Automation Magazine","","2013","20","2","17","19","Do you design robots? You probably ponder how you should partition functions into subsystems embedded in the robot. If you use ROS in your robot, you have additional concerns around how to integrate ROS's high-level functions with lower-level subsystems. You want to understand current and future design alternatives advantages and tradeoffs.","1070-9932;10709932","","10.1109/MRA.2013.2255491","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6524082","","","embedded systems;operating systems (computers);robot programming","embedded ROS;high-level function;lower-level subsystem;robot design","","1","","","","","June 2013","","IEEE","IEEE Journals & Magazines"
"Risk based Uncertainty (RibUt) Assessment of a Power System Using Bootstrap Technique","M. M. Othman; S. R. Kasim; N. A. Salim; I. Musirin","Faculty of Electrical Engineering, Universiti Teknologi MARA, Malaysia","Power Engineering and Optimization Conference (PEDCO) Melaka, Malaysia, 2012 Ieee International","","2012","","","460","464","There are various approach used to prevent from the occurrence of power system blackout in order to ensure the sustainability and efficiency of energy supply. Generally, power system blackout can be mitigated by referring to the risk assessment of a power system. This paper presents the risk assessment of a power system performed by using the proposed bootstrap technique and the fuzzy set technique. The risk of the system is measured by using the expected energy not supplied (EENS) index as well as the probability of load curtailment (PLC) index. The application of bootstrap technique is important to assess the risk indices at every level of system uncertainty. The 24-bus IEEE Reliability Test System (RTS) and 2737-bus Polish system are used as a case study in the analysis of risk based EENS and PLC. Comparative studies have been made on the risk assessment determined by using the proposed bootstrap technique and the fuzzy set technique.","","","10.1109/PEOCO.2012.6230908","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6230908","Risk based uncertainty (RibUt);bootstrap technique;fuzzy set technique","Electrical engineering;Power engineering;Power system reliability;Power transmission lines;Risk management;Uncertainty","fuzzy set theory;power system faults;power system reliability;risk management;statistical analysis","24-bus IEEE RTS;24-bus IEEE reliability test system;2737-bus Polish system;EENS index;RibUt assessment;bootstrap technique;energy supply efficiency;energy supply sustainability;expected energy not-supplied index;fuzzy set technique;power system blackout;probability-of-load curtailment index;risk-based uncertainty assessment;system uncertainty","","4","","14","","","6-7 June 2012","","IEEE","IEEE Conference Publications"
"Trap analysis in AlGaN/GaN HEMTs using indirect and direct methods","P. B. Shah; R. Dedhia; R. Tompkins; E. Viveiros; K. A. Jones","SEDD, U.S. Army Research Laboratory, Adelphi, MD, USA","Semiconductor Device Research Symposium (ISDRS), 2011 International","","2011","","","1","2","AlGaN/GaN HEMTs are important for high-frequency RF communication systems. However free carrier traps in the HEMTs caused by material growth issues, material interfaces, and processing issues reduce the device performance and life. We analyzed the switching performance of HEMTs and investigated locating and quantifying the traps involved. Results from multiple samples will be provided for comparisons.","","","10.1109/ISDRS.2011.6135307","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6135307","","Aluminum gallium nitride;Energy states;Gallium nitride;HEMTs;MODFETs;Materials;Semiconductor device measurement","HF radio propagation;aluminium compounds;electron traps;gallium compounds;high electron mobility transistors","AlGaN-GaN;HEMT;free carrier trap;high-frequency RF communication system;material growth issue;material interface;processing issue;switching performance analysis;trap analysis","","0","","4","","","7-9 Dec. 2011","","IEEE","IEEE Conference Publications"
